Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles
LGOIR-TOOL2,TOURNEVIS/SCREWDRIVER TX-15,CHANTIER,143,,,1,143,"E5R, BOX 44, BOX 27",XX,,,N/A,,
LGOIR-TOOL3,TOURNEVIS/SCREWDRIVER CMC,CHANTIER,100,,,1,100,"E5R, BOX 27",XX,,,N/A,,
LGOIR-TOOL4,TOURNEVIS/SCREWDRIVER TX-25,CHANTIER,16,,,1,16,E5R,XX,,,N/A,,
LGOIR-LITTLE PIECE5,SEE THROUGH PIN,CHANTIER/FINITION,264,,,100,2.64,X,XX,,,N/A,,
LGOIR-SHIM08,"SHIMS 1/8""",CHANTIER/USINE,2580,,,1000,2.58,E2C,XX,,,N/A,,
LGOIR-SHIM04,"SHIMS 1/4""",CHANTIER/USINE,6280,,,1000,6.28,E2C,XX,,,PSC,46098,
LGOIR-SHIM16,"SHIMS 1/16""",CHANTIER/USINE,5457,,,1000,5.457,E2C,XX,,,N/A,,
LGOIR-PASTE13,SIKAFLEX 1A,CHANTIER/USINE,327,,,24,13.625,E2R,46019,448,46567,PSC,46091,
LGOIR-PASTE14,SILICONE TRANSLUCENT WHITE   DOWSIL,CHANTIER/FINITION,43,,,12,3.58333333,E4R,45183,-388,45731,PSC,,
LGOIR-PASTE15, SILICONE CLEAR DOWSIL,CHANTIER/FINITION,63,,,12,5.25,E4R,46699,1128,47247,PSC,,
LGOIR-PASTE16,Silicone Rustic Brick,CHANTIER,20,,,25,0.8,E5R,45748,177,46296,N/A,,
LGOIR-METAL1,STEEL PLATE FOR CORNER NICHES,CHANTIER,146,,,1,146,E1C,XX,,,Acier Lachine,,
LGOIR-TIM123,"TIMBERTITE SCREW WOOD FASTENER(TAPCON) 1/4 X 8""  USE 5/16 HEX DRIVER REMOVAVLE  & REUSABLE CERAMIC COATED",CHANTIER,50,,,1,50,ARMOIRE SANS CLE T2,XX,,,N/A,,
LGOIR-SQ45131,"IRWIN  METAL COMBINATION SQUARE 16"" 40CM",CHANTIER,2,,,1,2,ARMOIRE AVEC CLE T4,XX,,,N/A,,
LGOIR-BETON1,"TAPCON 1/4"" X 3-1/4",CHANTIER,2489,,,2000,1.2445,"E5R, ETOPR",XX,,,N/A,,
LGOIR-BETON2,"TAPCON 1/4"" X 2-3/4""",CHANTIER,5308,,,1000,5.308,CONTAINEUR CHANTIER,XX,,,N/A,,
LGOIR-BETON3,TAPCON  1/2 x 5,CHANTIER,85,,,100,0.85,CONTAINEUR CHANTIER,XX,,,N/A,,
LGOIR-PASTE17,TENAX,CHANTIER,35,,,12,2.91666667,E5R,XX,,,N/A,,
LGOIR-METAL2,TENSION TIES,CHANTIER,25,,,1,25,E1C,XX,,,N/A,,
LGOIR-CARPEINTEER1,VIS A BOIS 8 x 2 1/2 ,CHANTIER/CRETAGE,5000,,,2500,2,E4C,XX,,,N/A,,
LGOIR-CARPEINTEER2,VIS A BOIS 8 X 1 1/4'',CHANTIER/CRETAGE,5820,,,7500,0.776,E4C,XX,,,N/A,,
LGOIR-CARPEINTEER3,"VIS A BOIS 8x 1 3/4""",CHANTIER/CRETAGE,60000,,,5000,12,"E4C, CRATAGE",XX,,,N/A,,
18-VDOS-058-15-ZC,"VIS DE DOS AUTOPERCEUSE #8 X 5/8"" T. HEX RONDELLE ZINC",ASSEMBLAGE,1327,,,100,13.27,E5C,XX,,,N/A,,
