Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles,Id,StockMinimo,StockMaximo,VidaUtilMeses,Notas,LotesJson
LGOIR-WIRE7,ANCIEN TRANSFO WA-110 10 AMP 4 TWIN PLUG 110/24,ELECTRIQUE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,1455,5,100,0,,[]
LGOIR-WIRE8,ANCIEN TRANSFO WA-110 10AMP 120/24,ELECTRIQUE,1,0,0,1,1,ARMOIRE SANS CLE,XX,0,,N/A,,,1456,5,100,0,,[]
LGOIR-LITTLE PIECE10,#10 -24 X 3/8 VIS D'ARRET PTE PLAT,EXTRUSION,500,0,0,100,5,ARMOIRE AVEC CLE,XX,0,,N/A,,,1457,5,100,0,,[]
LGOIR-LITTLE PIECE11,"#10-24 UNC X 1"" VIS MACHINE T. RONDE COMBINEE/CARREE ZINC",EXTRUSION,5000,0,0,100,50,E5C,XX,0,,N/A,,,1458,5,100,0,,[]
LGOIR-LITTLE PIECE12,#10-24X 3/8 POINT CONIQUE VIS D'ARRET,EXTRUSION,3500,0,0,1,3500,ARMOIRE AVEC CLE,XX,0,,N/A,,,1459,5,100,0,,[]
LGOIR-LITTLE PIECE13 Desormeau VMPCZ10240050,#10-24 UNC X 1/2 VIS MACHINE T. PLATE CARREE ZINC,EXTRUSION,1500,0,0,1,1500,ARMOIRE AVEC CLE,XX,0,,N/A,,,1460,5,100,0,,[]
LGOIR-LITTLE PIECE14,#10-24 UNC X 3/4 VIS MACHINE T.PLATE CARRE ZINC,EXTRUSION,1000,0,0,1,1000,ARMOIRE AVEC CLE,XX,0,,N/A,,,1461,5,100,0,,[]
LGOIR-LITTLE PIECE15  Desormeau 6SCOCN8320025,#8-32 UNC X 1/4 VIS D'ARRET PTE CONIQUE NOIR,EXTRUSION,5000,0,0,1,5000,ARMOIRE AVEC CLE,XX,0,,N/A,,,1462,5,100,0,,[]
LGOIR-LITTLE PIECE16,10-24 LOCK NUT GR 5 ZC,FINITION,377,0,0,1,377,ARMOIRE AVEC CLE,XX,0,,N/A,,,1463,5,100,0,,[]
LGOIR-OLD1,"JOINT CONNECTOR BOLT-LOW PROFILE HEAD WITH SHOULDER (5mm HEX DRIVE) 1/4""-20 UNC THREAD X 40mm LGTH UNDER HEAD, STEEL BLACK OXIDE FINISH(SEE THROUG A L'ANCIENNE)",SPECIAL,215,0,0,1,215,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,0,,N/A,,,1464,5,100,0,,[]
LGOIR-LITTLE PIECE17,NUT 8-32,FINITION,500,0,0,1,500,ARMOIRE AVEC CLE,XX,0,,N/A,,,1465,5,100,0,,[]
LGOIR-LITTLE PIECE 29442,VIS 8-32 X 5/8 MECHANIQUE MS ETOILE TETE PLAT / PHILLIPS DRIVE FLAT HEAD ZINC STEEL MACHINE  SCREW  29442,USINE,500,0,0,1000,0.5,ARMOIRE AVEC CLE,XX,0,,FASTEANL,46078,,1466,5,100,0,,[]
LGOIR-LITTLE PIECE19,#10-24 UNC X 7/16 VIS D'ARRET A 6 P/C PTE CONIQUE NOIR,EXTRUSION,800,0,0,1,800,ARMOIRE AVEC CLE,XX,0,,N/A,,,1467,5,100,0,,[]
LGOIR-LITTLE PIECE20,10-24 X3/8 POINTE PLAT VIS D'ARRET,EXTRUSION,500,0,0,1,500,ARMOIRE AVEC CLE,XX,0,,N/A,,,1468,5,100,0,,[]
